dogadjaj_id,predmet,tip,trajanje_sati,trajanje_minuta,nastavnik,smjerovi,ciklus,semestar,godina,broj_studenata,treba_lab,grupa
D0174,Programiranje II,P,3,180,Adis Alihodžić,Kompjuterske nauke | Nastavnički smjer (matematika i informatika) | Primijenjena matematika,Bachelor,2,I godina,130,0,G1
D0175,Projektivna geometrija,AV,2,120,Mirza Čvorak,Nastavnički smjer (matematika),Master,1,I godina,11,0,G1
D0176,Projektivna geometrija,P,2,120,Manuela Muzika Dizdarević,Nastavnički smjer (matematika),Master,1,I godina,11,0,G1
D0177,Razvoj softvera,LV,2,120,Vedad Letić,Kompjuterske nauke,Bachelor,5,III godina,20,1,G1
D0178,Razvoj softvera,P,3,180,Damir Hasić,Kompjuterske nauke,Bachelor,5,III godina,20,0,G1
D0179,Razvoj softvera,LV,2,120,Vedad Letić,Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika),Master,1,I godina,19,1,G1
D0180,Razvoj softvera,P,3,180,Damir Hasić,Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika),Master,1,I godina,19,0,G1
D0181,Računarske mreže,LV,2,120,Kadušić Esada,Kompjuterske nauke | Nastavnički smjer (matematika i informatika),Bachelor,4,II godina,47,1,G1
D0182,Računarske mreže,P,2,120,Esmir Pilav,Kompjuterske nauke | Nastavnički smjer (matematika i informatika),Bachelor,4,II godina,47,0,G1
D0183,Softverski inženjering,AV,2,120,Sead Delalić,Kompjuterske nauke,Master,3,II godina,8,0,G1
D0184,Softverski inženjering,LV,1,60,Sead Delalić,Kompjuterske nauke,Master,3,II godina,8,1,G1
D0185,Softverski inženjering,P,2,120,Sead Delalić,Kompjuterske nauke,Master,3,II godina,8,0,G1
D0186,Statistika I,LV,3,180,Aleksandar Balašev-Samarski,Kompjuterske nauke | Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika) | Opći smjer | Primijenjena matematika,Bachelor,4,II godina,67,1,G1
D0187,Statistika I,P,2,120,Fikret Čunjalo,Kompjuterske nauke | Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika) | Opći smjer | Primijenjena matematika,Bachelor,4,II godina,67,0,G1
D0188,Statistika II,AV,1,60,Fikret Čunjalo,Primijenjena matematika,Bachelor,6,III godina,5,0,G1
D0189,Statistika II,P,2,120,Fikret Čunjalo,Primijenjena matematika,Bachelor,6,III godina,5,0,G1
D0190,Stohastički procesi,AV,2,120,Amil Pečenković,Primijenjena matematika,Master,2,I godina,8,0,G1
D0191,Stohastički procesi,P,3,180,Amil Pečenković,Primijenjena matematika,Master,2,I godina,8,0,G1
D0192,Strukture podataka i algoritmi,AV,2,120,Admir Beširević,Kompjuterske nauke,Bachelor,3,II godina,40,0,G1
D0193,Strukture podataka i algoritmi,LV,2,120,Admir Beširević,Kompjuterske nauke,Bachelor,3,II godina,40,1,G1
D0194,Strukture podataka i algoritmi,P,3,180,Esmir Pilav,Kompjuterske nauke,Bachelor,3,II godina,40,0,G1
D0195,Teorija brojeva,AV,2,120,Džana Drino,Nastavnički smjer (matematika),Bachelor,6,III godina,7,0,G1
D0196,Teorija brojeva,P,2,120,Dženan Gušić,Nastavnički smjer (matematika),Bachelor,6,III godina,7,0,G1
D0197,Teorija grafova,AV,2,120,Adisa Bolić,Kompjuterske nauke | Opći smjer | Primijenjena matematika,Bachelor,6,III godina,29,0,G1
D0198,Teorija grafova,P,3,180,Damir Hasić,Kompjuterske nauke | Opći smjer | Primijenjena matematika,Bachelor,6,III godina,29,0,G1
D0199,Teorija grafova,AV,2,120,Adisa Bolić,Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika),Master,2,I godina,19,0,G1
D0200,Teorija grafova,P,3,180,Damir Hasić,Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika),Master,2,I godina,19,0,G1
D0201,Teorija izračunljivosti,AV,2,120,Damir Hasić,Kompjuterske nauke | Opći smjer,Bachelor,4,II godina,45,0,G1
D0202,Teorija izračunljivosti,P,3,180,Damir Hasić,Kompjuterske nauke | Opći smjer,Bachelor,4,II godina,45,0,G1
D0203,Teorija izračunljivosti,AV,2,120,Damir Hasić,Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika),Bachelor,6,III godina,13,0,G1
D0204,Teorija izračunljivosti,P,3,180,Damir Hasić,Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika),Bachelor,6,III godina,13,0,G1
D0205,Teorija kodiranja i informacija,AV,2,120,Amela Muratović-Ribić,Kompjuterske nauke,Master,1,I godina,15,0,G1
D0206,Teorija kodiranja i informacija,P,3,180,Amela Muratović-Ribić,Kompjuterske nauke,Master,1,I godina,15,0,G1
D0207,Teorija kodiranja i informacija,AV,2,120,Amela Muratović-Ribić,Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika) | Opći smjer | Primijenjena matematika,Master,3,II godina,17,0,G1
D0208,Teorija kodiranja i informacija,P,3,180,Amela Muratović-Ribić,Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika) | Opći smjer | Primijenjena matematika,Master,3,II godina,17,0,G1
D0209,Teorija mjere i integracije,AV,2,120,Aleksandar Balašev-Samarski,Opći smjer | Primijenjena matematika,Bachelor,6,III godina,9,0,G1
D0210,Teorija mjere i integracije,P,3,180,Zenan Šabanac,Opći smjer | Primijenjena matematika,Bachelor,6,III godina,9,0,G1
D0211,Teorija mjere i integracije,AV,2,120,Aleksandar Balašev-Samarski,Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika),Master,2,I godina,19,0,G1
D0212,Teorija mjere i integracije,P,3,180,Zenan Šabanac,Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika),Master,2,I godina,19,0,G1
D0213,Teorija skupova,AV,2,120,Mirza Čvorak,Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika) | Opći smjer | Primijenjena matematika,Bachelor,3,II godina,27,0,G1
D0214,Teorija skupova,P,2,120,Franjo Šarčević,Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika) | Opći smjer | Primijenjena matematika,Bachelor,3,II godina,27,0,G1
D0215,Teorija vjerovatnoće,AV,2,120,Adisa Bolić,Kompjuterske nauke | Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika) | Opći smjer | Primijenjena matematika,Bachelor,3,II godina,67,0,G1
D0216,Teorija vjerovatnoće,P,2,120,Fikret Čunjalo,Kompjuterske nauke | Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika) | Opći smjer | Primijenjena matematika,Bachelor,3,II godina,67,0,G1
D0217,Topologija,AV,2,120,Franjo Šarčević,Nastavnički smjer (matematika) | Opći smjer | Primijenjena matematika,Bachelor,4,II godina,20,0,G1
D0218,Topologija,P,2,120,Franjo Šarčević,Nastavnički smjer (matematika) | Opći smjer | Primijenjena matematika,Bachelor,4,II godina,20,0,G1
D0219,Uvod u diferencijalnu geometriju,AV,2,120,Amil Pečenković,Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika) | Opći smjer,Bachelor,6,III godina,17,0,G1
D0220,Uvod u diferencijalnu geometriju,P,2,120,Amil Pečenković,Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika) | Opći smjer,Bachelor,6,III godina,17,0,G1
D0221,Uvod u funkcionalnu analizu,AV,2,120,Džana Drino,Opći smjer | Primijenjena matematika,Bachelor,6,III godina,9,0,G1
D0222,Uvod u funkcionalnu analizu,P,2,120,Nacima Memić,Opći smjer | Primijenjena matematika,Bachelor,6,III godina,9,0,G1
D0223,Uvod u funkcionalnu analizu,AV,2,120,Džana Drino,Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika),Master,2,I godina,19,0,G1
D0224,Uvod u funkcionalnu analizu,P,2,120,Nacima Memić,Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika),Master,2,I godina,19,0,G1
D0225,Uvod u kompjutersku geometriju,LV,2,120,Adisa Bolić,Kompjuterske nauke,Bachelor,6,III godina,20,1,G1
D0226,Uvod u kompjutersku geometriju,P,2,120,Esmir Pilav,Kompjuterske nauke,Bachelor,6,III godina,20,0,G1
D0227,Uvod u kompjutersku geometriju,LV,2,120,Adisa Bolić,Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika),Master,2,I godina,19,1,G1
D0228,Uvod u kompjutersku geometriju,P,2,120,Esmir Pilav,Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika),Master,2,I godina,19,0,G1
D0229,Uvod u matematiku,AV,2,120,Daniela Zubović,Kompjuterske nauke | Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika) | Opći smjer | Primijenjena matematika,Bachelor,1,I godina,150,0,G1
D0230,Uvod u matematiku,P,3,180,Dženan Gušić,Kompjuterske nauke | Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika) | Opći smjer | Primijenjena matematika,Bachelor,1,I godina,150,0,G1
D0231,Uvod u matematičko modeliranje,AV,1,60,Medina Zubača,Nastavnički smjer (matematika) | Primijenjena matematika,Bachelor,6,III godina,12,0,G1
D0232,Uvod u matematičko modeliranje,P,2,120,Medina Zubača,Nastavnički smjer (matematika) | Primijenjena matematika,Bachelor,6,III godina,12,0,G1
D0233,Vještačka inteligencija,LV,2,120,Kemal Altwlkany,Kompjuterske nauke,Master,2,I godina,15,1,G1
D0234,Vještačka inteligencija,P,2,120,Sead Delalić,Kompjuterske nauke,Master,2,I godina,15,0,G1
D0235,Web programiranje,LV,2,120,Skopljaković Selma,Kompjuterske nauke | Nastavnički smjer (matematika i informatika),Bachelor,5,III godina,26,1,G1
D0236,Web programiranje,P,2,120,Sead Delalić,Kompjuterske nauke | Nastavnički smjer (matematika i informatika),Bachelor,5,III godina,26,0,G1
D0237,Web programiranje,LV,2,120,Skopljaković Selma,Nastavnički smjer (matematika),Master,1,I godina,11,1,G1
D0238,Web programiranje,P,2,120,Sead Delalić,Nastavnički smjer (matematika),Master,1,I godina,11,0,G1
