dogadjaj_id,predmet,tip,trajanje_sati,trajanje_minuta,nastavnik,smjerovi,ciklus,semestar,godina,broj_studenata,treba_lab,grupa
D0037,Diferencijalne jednadžbe,P,3,180,Senada Kalabušić,Kompjuterske nauke | Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika) | Opći smjer | Primijenjena matematika,Bachelor,3,II godina,67,0,G1
D0038,Diferentne jednadžbe i diskretni dinamički sistemi,AV,2,120,Senada Kalabušić,Primijenjena matematika,Master,1,I godina,8,0,G1
D0039,Diferentne jednadžbe i diskretni dinamički sistemi,P,3,180,Senada Kalabušić,Primijenjena matematika,Master,1,I godina,8,0,G1
D0040,Diferentne jednadžbe i diskretni dinamički sistemi,AV,2,120,Senada Kalabušić,Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika),Master,3,II godina,10,0,G1
D0041,Diferentne jednadžbe i diskretni dinamički sistemi,P,3,180,Senada Kalabušić,Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika),Master,3,II godina,10,0,G1
D0042,Dinamički web sistemi,LV,2,120,Skopljaković Selma,Kompjuterske nauke | Nastavnički smjer (matematika i informatika),Bachelor,6,III godina,26,1,G1
D0043,Dinamički web sistemi,P,2,120,Sead Delalić,Kompjuterske nauke | Nastavnički smjer (matematika i informatika),Bachelor,6,III godina,26,0,G1
D0044,Diskretna matematika,AV,2,120,Franjo Šarčević,Nastavnički smjer (matematika) | Opći smjer,Bachelor,2,I godina,20,0,G1
D0045,Diskretna matematika,P,2,120,Damir Hasić,Nastavnički smjer (matematika) | Opći smjer,Bachelor,2,I godina,20,0,G1
D0046,Dokimologija,P,2,120,Hasnija Nurković,Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika),Bachelor,5,III godina,13,0,G1
D0047,Elementarna matematika,AV,2,120,Džana Drino,Kompjuterske nauke | Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika) | Opći smjer | Primijenjena matematika,Bachelor,1,I godina,150,0,G1
D0048,Elementarna matematika,P,2,120,Dina Kamber Hamzić,Kompjuterske nauke | Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika) | Opći smjer | Primijenjena matematika,Bachelor,1,I godina,150,0,G1
D0049,Elementarna teorija brojeva,AV,2,120,Medina Zubača,Kompjuterske nauke | Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika) | Opći smjer | Primijenjena matematika,Bachelor,2,I godina,150,0,G1
D0050,Elementarna teorija brojeva,P,2,120,Almasa Odžak,Kompjuterske nauke | Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika) | Opći smjer | Primijenjena matematika,Bachelor,2,I godina,150,0,G1
D0051,Engleski jezik,AV,2,120,Nadira Aljović,Kompjuterske nauke | Nastavnički smjer (matematika) | Opći smjer | Primijenjena matematika,Bachelor,4,II godina,60,0,G1
D0052,Engleski jezik,P,2,120,Nadira Aljović,Kompjuterske nauke | Nastavnički smjer (matematika) | Opći smjer | Primijenjena matematika,Bachelor,4,II godina,60,0,G1
D0053,Finansijska matematika,AV,2,120,Senada Kalabušić,Primijenjena matematika,Bachelor,4,II godina,6,0,G1
D0054,Finansijska matematika,P,2,120,Senada Kalabušić,Primijenjena matematika,Bachelor,4,II godina,6,0,G1
D0055,Fourierova transformacija i waveleti,AV,2,120,Zenan Šabanac,Primijenjena matematika,Master,1,I godina,8,0,G1
D0056,Fourierova transformacija i waveleti,P,3,180,Zenan Šabanac,Primijenjena matematika,Master,1,I godina,8,0,G1
D0057,Fourierova transformacija i waveleti,AV,2,120,Zenan Šabanac,Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika),Master,3,II godina,10,0,G1
D0058,Fourierova transformacija i waveleti,P,3,180,Zenan Šabanac,Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika),Master,3,II godina,10,0,G1
D0059,Funkcionalna analiza,AV,2,120,Nacima Memić,Opći smjer | Primijenjena matematika,Master,2,I godina,14,0,G1
D0060,Funkcionalna analiza,P,3,180,Nacima Memić,Opći smjer | Primijenjena matematika,Master,2,I godina,14,0,G1
D0061,Geometrija I,AV,2,120,Mirza Čvorak,Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika) | Opći smjer | Primijenjena matematika,Bachelor,4,II godina,27,0,G1
D0062,Geometrija I,P,3,180,Franjo Šarčević,Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika) | Opći smjer | Primijenjena matematika,Bachelor,4,II godina,27,0,G1
D0063,Geometrija II,AV,2,120,Mirza Čvorak,Nastavnički smjer (matematika) | Opći smjer,Bachelor,5,III godina,11,0,G1
D0064,Geometrija II,P,2,120,Manuela Muzika Dizdarević,Nastavnički smjer (matematika) | Opći smjer,Bachelor,5,III godina,11,0,G1
D0065,Geometrija II,AV,2,120,Mirza Čvorak,Nastavnički smjer (matematika i informatika),Master,1,I godina,8,0,G1
D0066,Geometrija II,P,2,120,Manuela Muzika Dizdarević,Nastavnički smjer (matematika i informatika),Master,1,I godina,8,0,G1
D0067,Historija matematike,P,2,120,Franjo Šarčević,Opći smjer,Bachelor,5,III godina,4,0,G1
D0068,Historija matematike,P,2,120,Franjo Šarčević,Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika),Master,3,II godina,10,0,G1
D0069,Inkluzivno obrazovanje,AV,1,60,Hasnija Nurković,Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika),Master,2,I godina,19,0,G1
D0070,Inkluzivno obrazovanje,P,2,120,Hasnija Nurković,Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika),Master,2,I godina,19,0,G1
D0071,Integralne transformacije sa primjenama,AV,2,120,Medina Zubača,Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika) | Opći smjer | Primijenjena matematika,Master,3,II godina,17,0,G1
D0072,Integralne transformacije sa primjenama,P,3,180,Medina Zubača,Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika) | Opći smjer | Primijenjena matematika,Master,3,II godina,17,0,G1
D0073,Kombinatorika,AV,2,120,Adisa Bolić,Kompjuterske nauke | Nastavnički smjer (matematika i informatika) | Opći smjer | Primijenjena matematika,Bachelor,4,II godina,58,0,G1
D0074,Kombinatorika,P,2,120,Amela Muratović-Ribić,Kompjuterske nauke | Nastavnički smjer (matematika i informatika) | Opći smjer | Primijenjena matematika,Bachelor,4,II godina,58,0,G1
D0075,Komparativna analiza programskih jezika,LV,2,120,Adisa Bolić,Kompjuterske nauke,Bachelor,6,III godina,20,1,G1
D0076,Komparativna analiza programskih jezika,P,3,180,Elmedin Selmanović,Kompjuterske nauke,Bachelor,6,III godina,20,0,G1
D0077,Kompjutaciona geometrija,LV,2,120,Aleksandar Balašev-Samarski,Kompjuterske nauke,Master,1,I godina,15,1,G1
D0078,Kompjutaciona geometrija,P,3,180,Adis Alihodžić,Kompjuterske nauke,Master,1,I godina,15,0,G1
D0079,Kompjuterska grafika,LV,2,120,Elmedin Selmanović,Kompjuterske nauke,Master,2,I godina,15,1,G1
D0080,Kompjuterska grafika,P,3,180,Elmedin Selmanović,Kompjuterske nauke,Master,2,I godina,15,0,G1
D0081,Kompjuterska vizija,LV,2,120,Admir Beširević,Kompjuterske nauke,Master,3,II godina,8,1,G1
D0082,Kompjuterska vizija,P,3,180,Elmedin Selmanović,Kompjuterske nauke,Master,3,II godina,8,0,G1
D0083,Kompleksna analiza I,AV,3,180,Džana Drino,Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika) | Opći smjer | Primijenjena matematika,Bachelor,5,III godina,22,0,G1
D0084,Kompleksna analiza I,P,3,180,Lejla Smajlović,Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika) | Opći smjer | Primijenjena matematika,Bachelor,5,III godina,22,0,G1
D0085,Kompleksna analiza II,AV,2,120,Lejla Smajlović,Opći smjer,Bachelor,6,III godina,4,0,G1
D0086,Kompleksna analiza II,P,2,120,Lejla Smajlović,Opći smjer,Bachelor,6,III godina,4,0,G1
D0087,Kriptologija,P,3,180,Amela Muratović-Ribić,Kompjuterske nauke,Bachelor,3,II godina,40,0,G1
D0088,Kriptologija,P,3,180,Amela Muratović-Ribić,Nastavnički smjer (matematika i informatika) | Opći smjer | Primijenjena matematika,Bachelor,5,III godina,15,0,G1
D0089,Kvalitativna analiza diferencijalnih jednadžbi,AV,2,120,Senada Kalabušić,Primijenjena matematika,Master,2,I godina,8,0,G1
D0090,Kvalitativna analiza diferencijalnih jednadžbi,P,3,180,Senada Kalabušić,Primijenjena matematika,Master,2,I godina,8,0,G1
D0091,Linearna algebra,AV,2,120,Aleksandar Balašev-Samarski,Kompjuterske nauke,Bachelor,2,I godina,105,0,G1
D0092,Linearna algebra,P,3,180,Amil Pečenković,Kompjuterske nauke,Bachelor,2,I godina,105,0,G1
D0093,Linearna algebra I,AV,2,120,Aleksandar Balašev-Samarski,Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika) | Opći smjer | Primijenjena matematika,Bachelor,1,I godina,45,0,G1
D0094,Linearna algebra I,P,3,180,Amela Muratović-Ribić,Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika) | Opći smjer | Primijenjena matematika,Bachelor,1,I godina,45,0,G1
D0095,Linearna algebra II,AV,2,120,Džana Drino,Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika) | Opći smjer | Primijenjena matematika,Bachelor,2,I godina,45,0,G1
D0096,Linearna algebra II,P,3,180,Manuela Muzika Dizdarević,Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika) | Opći smjer | Primijenjena matematika,Bachelor,2,I godina,45,0,G1
D0097,Matematičke metode u obradi i analizi digitalnih slika,LV,2,120,Adis Alihodžić,Kompjuterske nauke,Master,2,I godina,15,1,G1
D0098,Matematičke metode u obradi i analizi digitalnih slika,P,3,180,Adis Alihodžić,Kompjuterske nauke,Master,2,I godina,15,0,G1
D0099,Mašinsko učenje,LV,2,120,Adisa Bolić,Kompjuterske nauke | Primijenjena matematika,Bachelor,6,III godina,25,1,G1
D0100,Mašinsko učenje,P,2,120,Adis Alihodžić,Kompjuterske nauke | Primijenjena matematika,Bachelor,6,III godina,25,0,G1
D0101,Metodika nastave informatike I,LV,2,120,Daniela Zubović,Nastavnički smjer (matematika i informatika),Bachelor,6,III godina,6,1,G1
D0102,Metodika nastave informatike I,P,3,180,Emin Bešo,Nastavnički smjer (matematika i informatika),Bachelor,6,III godina,6,0,G1
D0103,Metodika nastave informatike II,LV,2,120,Daniela Zubović,Nastavnički smjer (matematika i informatika),Master,2,I godina,8,1,G1
D0104,Metodika nastave informatike II,P,2,120,Dženan Gušić,Nastavnički smjer (matematika i informatika),Master,2,I godina,8,0,G1
D0105,Metodika nastave matematike I,AV,2,120,Džana Drino,Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika),Bachelor,6,III godina,13,0,G1
D0106,Metodika nastave matematike I,P,3,180,Dina Kamber Hamzić,Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika),Bachelor,6,III godina,13,0,G1
D0107,Metodika nastave matematike II,AV,2,120,Džana Drino,Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika),Master,1,I godina,19,0,G1
D0108,Metodika nastave matematike II,P,2,120,Dina Kamber Hamzić,Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika),Master,1,I godina,19,0,G1
D0109,Metodika nastave matematike III,AV,2,120,Daniela Zubović,Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika),Master,2,I godina,19,0,G1
D0110,Metodika nastave matematike III,P,2,120,Dina Kamber Hamzić,Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika),Master,2,I godina,19,0,G1
D0111,Metodička praksa iz informatike u osnovnoj školi,LV,2,120,Daniela Zubović,Nastavnički smjer (matematika i informatika),Master,2,I godina,8,1,G1
D0112,Metodička praksa iz informatike u osnovnoj školi,P,1,60,Emin Bešo,Nastavnički smjer (matematika i informatika),Master,2,I godina,8,0,G1
D0113,Metodička praksa iz informatike u srednjoj školi,LV,3,180,Daniela Zubović,Nastavnički smjer (matematika i informatika),Master,2,I godina,8,1,G1
D0114,Metodička praksa iz informatike u srednjoj školi,P,1,60,Emin Bešo,Nastavnički smjer (matematika i informatika),Master,2,I godina,8,0,G1
D0115,Metodička praksa iz matematike u osnovnoj školi,LV,2,120,Daniela Zubović,Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika),Master,1,I godina,19,1,G1
D0116,Metodička praksa iz matematike u osnovnoj školi,P,1,60,Dina Kamber Hamzić,Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika),Master,1,I godina,19,0,G1
D0117,Metodička praksa iz matematike u srednjoj školi,LV,2,120,Daniela Zubović,Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika),Master,1,I godina,19,1,G1
D0118,Metodička praksa iz matematike u srednjoj školi,P,1,60,Dina Kamber Hamzić,Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika),Master,1,I godina,19,0,G1
D0119,Metodička praksa iz matematike u srednjoj školi II,LV,3,180,Daniela Zubović,Nastavnički smjer (matematika),Master,2,I godina,11,1,G1
D0120,Metodička praksa iz matematike u srednjoj školi II,P,1,60,Dina Kamber Hamzić,Nastavnički smjer (matematika),Master,2,I godina,11,0,G1
D0121,Metodologija istraživanja u nastavi,LV,1,60,Zenan Šabanac,Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika),Master,3,II godina,10,1,G1
D0122,Metodologija istraživanja u nastavi,P,2,120,Zenan Šabanac,Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika),Master,3,II godina,10,0,G1
D0123,Napredne numeričke metode,AV,2,120,Esmir Pilav,Primijenjena matematika,Master,2,I godina,8,0,G1
D0124,Napredne numeričke metode,P,2,120,Esmir Pilav,Primijenjena matematika,Master,2,I godina,8,0,G1
D0125,Napredne statističke metode,AV,2,120,Fikret Čunjalo,Primijenjena matematika,Master,3,II godina,4,0,G1
D0126,Napredne statističke metode,P,2,120,Fikret Čunjalo,Primijenjena matematika,Master,3,II godina,4,0,G1
D0127,Napredni algoritmi i strukture podataka,LV,2,120,Aleksandar Balašev-Samarski,Kompjuterske nauke,Master,2,I godina,15,1,G1
D0128,Napredni algoritmi i strukture podataka,P,3,180,Esmir Pilav,Kompjuterske nauke,Master,2,I godina,15,0,G1
D0129,Nastava matematike za nadarene učenike,AV,2,120,Amil Pečenković,Nastavnički smjer (matematika),Bachelor,5,III godina,7,0,G1
D0130,Nastava matematike za nadarene učenike,P,2,120,Amil Pečenković,Nastavnički smjer (matematika),Bachelor,5,III godina,7,0,G1
D0131,Nelinearna optimizacija,AV,2,120,Emin Bešo,Primijenjena matematika,Master,1,I godina,8,0,G1
D0132,Nelinearna optimizacija,P,3,180,Zenan Šabanac,Primijenjena matematika,Master,1,I godina,8,0,G1
D0133,Nelinearna optimizacija,AV,2,120,Emin Bešo,Opći smjer,Master,3,II godina,3,0,G1
